Date,XBT Curncy
2016-05-17 00:00:00,454.3101
2016-05-18 00:00:00,455.4225
2016-05-19 00:00:00,447.9351
2016-05-20 00:00:00,441.5551
2016-05-23 00:00:00,441.9
2016-05-24 00:00:00,445.2975
2016-05-25 00:00:00,448.505
2016-05-27 00:00:00,470.8899
2016-05-31 00:00:00,530.89
2016-06-01 00:00:00,534.48
2016-06-02 00:00:00,536.7
2016-06-03 00:00:00,576.5524
2016-06-07 00:00:00,569.3201
2016-06-08 00:00:00,579.3225
2016-06-14 00:00:00,663.48
2016-06-15 00:00:00,689.15
2016-06-16 00:00:00,744.4375
2016-06-17 00:00:00,754.3662
2016-06-20 00:00:00,739.5317
2016-06-21 00:00:00,679.995
2016-06-22 00:00:00,633.837
2016-06-23 00:00:00,598.25
2016-06-27 00:00:00,639.9351
2016-06-28 00:00:00,649.7657
2016-06-29 00:00:00,637.9601
2016-06-30 00:00:00,672.9399
2016-07-05 00:00:00,671.5
2016-07-06 00:00:00,673.72
2016-07-07 00:00:00,616.0033
2016-07-08 00:00:00,660.7
2016-07-11 00:00:00,650.0851
2016-07-12 00:00:00,671.149
2016-07-13 00:00:00,663.1425
2016-07-14 00:00:00,664.0551
2016-07-15 00:00:00,669.005
2016-07-19 00:00:00,667.645
2016-07-20 00:00:00,664.9301
2016-07-21 00:00:00,667.0649
2016-07-22 00:00:00,657.6475
2016-07-25 00:00:00,655.875
2016-07-26 00:00:00,654.6899
2016-07-27 00:00:00,657.12
2016-07-28 00:00:00,653.955
2016-07-29 00:00:00,657.67
2016-08-03 00:00:00,559.495
2016-08-04 00:00:00,572.775
2016-08-05 00:00:00,577.23
2016-08-08 00:00:00,591.54
2016-08-09 00:00:00,589.905
2016-08-10 00:00:00,599.61
2016-08-12 00:00:00,586.4575
2016-08-16 00:00:00,577.4901
2016-08-17 00:00:00,570.25
2016-08-18 00:00:00,575.7301
2016-08-19 00:00:00,575.395
2016-08-22 00:00:00,585.155
2016-08-23 00:00:00,580.16
2016-08-24 00:00:00,579.985
2016-08-25 00:00:00,575.6151
2016-08-26 00:00:00,577.835
2016-08-30 00:00:00,575.4725
2016-08-31 00:00:00,571.3059
2016-09-01 00:00:00,569.8101
2016-09-02 00:00:00,574.2275
2016-09-06 00:00:00,609.4025
2016-09-08 00:00:00,627.1125
2016-09-09 00:00:00,620.835
2016-09-12 00:00:00,605.3051
2016-09-13 00:00:00,606.6175
2016-09-14 00:00:00,609.5725
2016-09-20 00:00:00,608.03
2016-09-21 00:00:00,594.995
2016-09-23 00:00:00,602.0025
2016-09-26 00:00:00,606.5935
2016-09-27 00:00:00,604.79
2016-09-28 00:00:00,604.4253
2016-09-29 00:00:00,605.785
2016-09-30 00:00:00,605.9922
2016-10-11 00:00:00,634.8
2016-10-13 00:00:00,636.876
2016-10-14 00:00:00,638.5825
2016-10-17 00:00:00,638.38
2016-10-18 00:00:00,635.6126
2016-10-19 00:00:00,628.1247
2016-10-20 00:00:00,628.3051
2016-10-24 00:00:00,649.4926
2016-10-25 00:00:00,654.0851
2016-10-26 00:00:00,668.275
2016-10-27 00:00:00,678.9301
2016-10-28 00:00:00,688.3551
2016-10-31 00:00:00,705.1951
2016-11-01 00:00:00,727.9775
2016-11-04 00:00:00,698.8625
2016-11-07 00:00:00,707.0458
2016-11-08 00:00:00,710.2904
2016-11-09 00:00:00,726.295
2016-11-10 00:00:00,713.0078
2016-11-11 00:00:00,714.9351
2016-11-14 00:00:00,700.1
2016-11-16 00:00:00,729.96
2016-11-17 00:00:00,743.8851
2016-11-18 00:00:00,743.26
2016-11-21 00:00:00,737.235
2016-11-22 00:00:00,746.0651
2016-11-25 00:00:00,737.6925
2016-11-28 00:00:00,733.5601
2016-11-29 00:00:00,733.7176
2016-11-30 00:00:00,741.7379
2016-12-01 00:00:00,752.965
2016-12-02 00:00:00,773.9955
2016-12-05 00:00:00,753.8151
2016-12-06 00:00:00,755.005
2016-12-07 00:00:00,763.7825
2016-12-08 00:00:00,770.5652
2016-12-09 00:00:00,771.14
2016-12-12 00:00:00,778.3687
2016-12-13 00:00:00,779.3401
2016-12-14 00:00:00,777.2135
2016-12-15 00:00:00,778.16
2016-12-16 00:00:00,780.6801
2016-12-19 00:00:00,791.64
2016-12-20 00:00:00,792.03
2016-12-21 00:00:00,822.5695
2016-12-22 00:00:00,863.2777
2016-12-28 00:00:00,954.7876
2016-12-29 00:00:00,954.7475
2017-01-04 00:00:00,1133
2017-01-05 00:00:00,964.2272
2017-01-10 00:00:00,904.4501
2017-01-11 00:00:00,770.745
2017-01-12 00:00:00,807.61
2017-01-13 00:00:00,830.6976
2017-01-17 00:00:00,902.4399
2017-01-18 00:00:00,877.3802
2017-01-19 00:00:00,904.9307
2017-01-20 00:00:00,898.855
2017-01-23 00:00:00,920.755
2017-01-24 00:00:00,909.605
2017-02-03 00:00:00,1011.6649
2017-02-06 00:00:00,1022.3101
2017-02-07 00:00:00,1048.9451
2017-02-08 00:00:00,1058.7852
2017-02-09 00:00:00,983.615
2017-02-10 00:00:00,1004.03
2017-02-13 00:00:00,998.1759
2017-02-14 00:00:00,1012.4391
2017-02-15 00:00:00,1012.015
2017-02-16 00:00:00,1034.985
2017-02-17 00:00:00,1058.8552
2017-02-21 00:00:00,1117.985
2017-02-22 00:00:00,1133.625
2017-02-23 00:00:00,1156.1505
2017-02-24 00:00:00,1177.2845
2017-03-01 00:00:00,1221.089
2017-03-02 00:00:00,1283.03
2017-03-03 00:00:00,1277.3945
2017-03-06 00:00:00,1278.9719
2017-03-07 00:00:00,1255.865
2017-03-08 00:00:00,1187.4985
2017-03-09 00:00:00,1199.8829
2017-03-10 00:00:00,1100.5601
2017-03-13 00:00:00,1241.225
2017-03-14 00:00:00,1252.3225
2017-03-15 00:00:00,1250.7
2017-03-16 00:00:00,1219.985
2017-03-17 00:00:00,1096.9136
2017-03-21 00:00:00,1110.925
2017-03-22 00:00:00,1013.755
2017-03-23 00:00:00,1038.8711
2017-03-24 00:00:00,960.7375
2017-03-27 00:00:00,1025.0775
2017-03-28 00:00:00,1051.7625
2017-03-29 00:00:00,1046.0851
2017-03-30 00:00:00,1033.4233
2017-03-31 00:00:00,1074.6862
2017-04-05 00:00:00,1121.01
2017-04-06 00:00:00,1172.1639
2017-04-07 00:00:00,1199.2368
2017-04-10 00:00:00,1211.947
2017-04-11 00:00:00,1231.995
2017-04-12 00:00:00,1217.9651
2017-04-13 00:00:00,1171.4901
2017-04-18 00:00:00,1199.995
2017-04-19 00:00:00,1202.3901
2017-04-20 00:00:00,1238.3695
2017-04-24 00:00:00,1248.049
2017-04-26 00:00:00,1311.145
2017-04-27 00:00:00,1332.2826
2017-04-28 00:00:00,1304.911
2017-05-02 00:00:00,1463.91
2017-05-08 00:00:00,1611.3551
2017-05-09 00:00:00,1736.2351
2017-05-10 00:00:00,1785.755
2017-05-11 00:00:00,1864.9396
2017-05-12 00:00:00,1691.8046
2017-05-15 00:00:00,1727.9955
2017-05-16 00:00:00,1771.7902
2017-05-17 00:00:00,1833.9401
2017-05-18 00:00:00,1866.02
2017-05-19 00:00:00,1938.0422
2017-05-22 00:00:00,2203.9521
2017-05-23 00:00:00,2193.5151
2017-05-24 00:00:00,2423.3799
2017-05-26 00:00:00,2268.6978
2017-05-31 00:00:00,2298.04
2017-06-01 00:00:00,2356.02
2017-06-02 00:00:00,2430.8311
2017-06-07 00:00:00,2813.5352
2017-06-08 00:00:00,2742.2251
2017-06-09 00:00:00,2834.4829
2017-06-13 00:00:00,2744.4116
2017-06-14 00:00:00,2553.0801
2017-06-16 00:00:00,2484.6489
2017-06-19 00:00:00,2567.74
2017-06-20 00:00:00,2657.8921
2017-06-21 00:00:00,2702.2651
2017-06-22 00:00:00,2715.79
2017-06-26 00:00:00,2382.0024
2017-06-27 00:00:00,2307.3201
2017-06-28 00:00:00,2536.52
2017-06-29 00:00:00,2575.26
2017-06-30 00:00:00,2502.5029
2017-07-03 00:00:00,2558.575
2017-07-05 00:00:00,2579.99
2017-07-06 00:00:00,2594.78
2017-07-07 00:00:00,2514.8652
2017-07-10 00:00:00,2407.0549
2017-07-11 00:00:00,2361.1001
2017-07-12 00:00:00,2393.1101
2017-07-13 00:00:00,2343.3599
2017-07-14 00:00:00,2159.0449
2017-07-18 00:00:00,2299.5496
2017-07-19 00:00:00,2301.3555
2017-07-20 00:00:00,2585.635
2017-07-21 00:00:00,2640.5005
2017-07-24 00:00:00,2759.9951
2017-07-25 00:00:00,2542.9849
2017-07-26 00:00:00,2433.095
2017-07-27 00:00:00,2557.49
2017-07-28 00:00:00,2755.645
2017-07-31 00:00:00,2789.7549
2017-08-02 00:00:00,2704.0049
2017-08-03 00:00:00,2764.417
2017-08-04 00:00:00,2831.9951
2017-08-07 00:00:00,3379.9951
2017-08-08 00:00:00,3371.6548
2017-08-09 00:00:00,3309.2949
2017-08-10 00:00:00,3432.2949
2017-08-14 00:00:00,4286.5
2017-08-16 00:00:00,4295.2559
2017-08-17 00:00:00,4346.0059
2017-08-18 00:00:00,4022.75
2017-08-21 00:00:00,4002.395
2017-08-22 00:00:00,3963.4299
2017-08-24 00:00:00,4217.0254
